source_id,source_type,category,priority,technical_details,suggested_title
R001,review,Bug,High,"Platform: Android 13, Device: Samsung Galaxy S21, Version: 2.1.3, Issue: App crashes on photo upload","[BUG] App crashes when uploading photos on Android"
R002,review,Praise,Low,"Platform: iOS, Device: iPhone 14, Version: 2.1.3","[PRAISE] Positive feedback on dark mode feature"
R003,review,Bug,Critical,"Platform: Android, Version: 2.1.3, Issue: Login failure with valid credentials","[BUG] Login fails with 'Invalid credentials' error"
R004,review,Feature Request,Medium,"Requested feature: Calendar integration","[FEATURE] Add calendar integration (Google Calendar/Outlook)"
R005,review,Bug,Critical,"Platform: Android, Version: 2.1.3, Issue: Data sync failure, data loss","[BUG] Data sync not working - user data loss"
R006,review,Praise,Low,"Platform: iOS, Version: 2.1.3","[PRAISE] Positive user feedback"
R007,review,Feature Request,Medium,"Requested feature: Offline mode for travel","[FEATURE] Add offline mode for data access"
R008,review,Bug,High,"Platform: iOS 17, Device: iPhone 12 Pro, Version: 2.1.3, Issue: Slow performance (30s load time)","[BUG] Severe performance degradation after update"
R009,review,Complaint,Low,"Complaint: Pricing too high at $9.99/month","[FEEDBACK] Pricing concerns from user"
R010,review,Feature Request,Low,"Requested feature: PDF export","[FEATURE] Add PDF export functionality"
R011,review,Bug,Critical,"Platform: Android 14, Device: Pixel 7, Version: 2.1.3, Issue: Crashes when switching tabs","[BUG] App crashes when switching between tabs"
R012,review,Praise,Low,"Platform: iOS, Version: 2.1.3","[PRAISE] Positive feedback on app quality"
R013,review,Feature Request,Low,"Requested feature: Home screen widgets","[FEATURE] Add widget support for quick access"
R014,review,Bug,Critical,"Platform: iOS, Version: 2.1.3, Issue: Data deletion after update, no backup","[BUG] Data loss after update - critical"
R015,review,Complaint,Medium,"Complaint: Poor customer service response time","[FEEDBACK] Customer service response time issue"
R016,review,Praise,Low,"Platform: iOS, Version: 2.1.3","[PRAISE] Positive feedback on collaboration features"
R017,review,Feature Request,Medium,"Requested feature: Biometric authentication (Face ID/Fingerprint)","[FEATURE] Add biometric authentication support"
R018,review,Bug,High,"Platform: iOS, Version: 2.1.3, Issue: File attachment failure","[BUG] Cannot attach files - all formats rejected"
R019,review,Feature Request,Low,"Requested feature: Improved search functionality","[FEATURE] Enhance search capabilities"
R020,review,Bug,High,"Platform: iOS 17.2, Device: iPhone 13, Version: 2.1.3, Issue: Excessive battery drain (40% in 2hrs)","[BUG] Excessive battery consumption"
R021,review,Praise,Low,"Platform: Android, Version: 2.1.3","[PRAISE] Positive user experience feedback"
R022,review,Complaint,Low,"Complaint: Confusing subscription tiers","[FEEDBACK] Subscription model clarity needed"
R023,review,Feature Request,Medium,"Requested feature: Cloud storage integration (Google Drive, Dropbox)","[FEATURE] Add cloud storage integration"
R024,review,Bug,Critical,"Platform: iOS 17.3, Version: 2.1.3, Issue: App won't open, white screen crash","[BUG] App fails to launch after iOS 17.3 update"
R025,review,Spam,Low,"Spam content detected","[SPAM] Promotional spam content"
R026,review,Praise,Low,"Platform: iOS, Version: 2.1.3","[PRAISE] Positive feedback on team responsiveness"
R027,review,Feature Request,Low,"Requested feature: True black dark theme for OLED","[FEATURE] Add true black OLED dark theme"
R028,review,Bug,High,"Platform: iPadOS 17, Device: iPad Pro, Version: 2.1.3, Issue: Notifications not working","[BUG] Push notifications not functioning"
R029,review,Feature Request,Low,"Requested feature: Recurring task templates","[FEATURE] Add recurring task templates"
R030,review,Spam,Low,"Random characters, no meaningful content","[SPAM] Gibberish content"
E001,email,Bug,High,"Platform: Android 13, Device: Samsung Galaxy S21, Version: 2.1.3, Steps: Open app > Click upload > Select photo > Crash","[BUG] App crashes during photo upload process"
E002,email,Feature Request,Medium,"Requested feature: True dark mode for night use","[FEATURE] Implement true dark mode"
E003,email,Bug,Critical,"Issue: Login failure despite correct credentials, password reset ineffective","[BUG] Critical login authentication failure"
E004,email,Feature Request,Low,"Requested feature: Calendar sync (Google Calendar/Outlook)","[FEATURE] Calendar integration for task scheduling"
E005,email,Bug,Critical,"Platform: Android 13, Device: Pixel 6, Version: 2.1.3, Issue: Data loss, sync failure","[BUG] Critical data loss - sync malfunction"
E006,email,Praise,Low,"Positive feedback on version 2.1.3 features","[PRAISE] User satisfaction with new features"
E007,email,Feature Request,Medium,"Requested feature: Offline mode with sync capability","[FEATURE] Offline mode for travelers"
E008,email,Bug,High,"Platform: iOS 17, Device: iPhone 12 Pro, Version: 2.1.3, Issue: 30+ second load time, laggy UI","[BUG] Severe performance degradation"
E009,email,Complaint,Low,"Complaint: Pricing $9.99/month vs competitors $4.99","[FEEDBACK] Competitive pricing concerns"
E010,email,Feature Request,Low,"Requested feature: PDF export for reports","[FEATURE] Add PDF export capability"
E011,email,Bug,Critical,"Platform: Android 14, Device: Pixel 7, Version: 2.1.3, Error: 'App has stopped responding' on tab switch","[BUG] Critical crash on tab navigation"
E012,email,Praise,Low,"Positive feedback on customer service and app quality","[PRAISE] Excellent service and product quality"
E013,email,Feature Request,Low,"Requested feature: Android home screen widgets","[FEATURE] Home screen widget support"
E014,email,Bug,Critical,"Version: 2.1.3, Issue: Complete data deletion after update, no backup available","[BUG] Critical data loss after update"
E015,email,Complaint,High,"Complaint: No response to 3 support tickets over 1 week","[FEEDBACK] Support response time critical issue"
E016,email,Praise,Low,"Positive feedback on collaboration features in 2.1.3","[PRAISE] Collaboration features highly appreciated"
E017,email,Feature Request,Medium,"Requested feature: Biometric authentication (Face ID/Fingerprint)","[FEATURE] Biometric security authentication"
E018,email,Bug,High,"Platform: iOS 17.2, Device: iPhone 14, Version: 2.1.3, Error: 'File format not supported' for all file types","[BUG] File attachment functionality broken"
E019,email,Feature Request,Low,"Requested improvements: Faster search, advanced filters, search in attachments, search history","[FEATURE] Enhanced search functionality"
E020,email,Bug,High,"Platform: iOS 17.2, Device: iPhone 13, Version: 2.1.3, Issue: 40% battery drain in 2 hours","[BUG] Excessive battery consumption"
